index,education_many,education_few,shopping_many,shopping_few,leisure_many,leisure_few,accompany
34560001,17,0,41,2,91,6,21
34560015,57,0,168,4,151,10,75
34560025,10,0,45,0,36,0,14
34565401,35,0,43,1,48,2,30
34565402,15,0,37,0,42,2,29
34565403,11,0,42,0,53,2,16
34565404,7,0,48,0,43,1,17
34570002,21,0,71,10,102,3,21
34570012,4,0,10,0,26,0,4
34570013,86,2,179,7,115,11,112
34570014,36,0,96,3,73,2,58
34570017,7,0,35,1,47,1,15
34570018,31,0,50,1,31,1,31
34570020,22,0,59,1,32,3,23
34570021,17,0,39,1,41,2,27
34570022,29,0,38,2,30,0,36
34570024,14,0,49,1,26,0,15
34575402,12,0,29,0,38,1,16
34575403,12,0,15,1,32,0,14
34580003,14,0,14,0,53,3,11
34580005,88,0,141,5,86,2,93
34580007,29,0,41,4,60,0,32
34580009,27,1,35,0,45,2,20
34580010,39,0,78,1,57,1,37
34580013,36,1,52,0,44,2,29
34580014,46,1,70,3,72,4,52
34585401,29,0,41,0,60,2,20
34590003,20,0,46,1,50,1,20
34590004,12,0,28,2,43,0,13
34590005,12,0,22,1,40,3,15
34590006,1,0,19,7,65,2,7
34590008,19,0,33,0,34,2,25
34590012,28,0,33,3,33,1,25
34590013,21,0,35,0,24,1,24
34590014,40,0,73,1,97,3,50
34590015,5,0,16,1,17,3,7
34590019,34,0,67,2,58,3,41
34590020,19,0,38,1,35,2,18
34590021,10,0,30,0,17,4,11
34590022,20,0,19,0,17,0,11
34590024,71,1,128,2,142,11,85
34590029,11,0,16,1,25,1,14
34590033,26,0,54,0,49,0,31
34590034,9,0,16,0,14,2,11
34595401,62,1,99,8,67,4,54
34595402,85,0,106,6,98,7,72
34595403,55,0,48,1,89,4,40
34595404,12,0,21,0,27,0,13
34600001,18,1,17,0,11,0,6
34600002,32,0,51,2,50,5,29
34600003,26,1,31,2,25,4,14
34600004,34,0,26,2,51,1,20
34600005,5,0,19,0,11,1,7
34600006,45,0,65,5,63,5,62
34600007,16,1,16,6,18,1,17
34600008,9,0,21,0,34,3,10
34600009,52,17,152,3,93,6,82
34600010,21,0,26,0,33,1,15
34610001,9,0,10,0,27,0,14
34610002,32,0,62,1,39,3,41
34610003,11,0,34,0,49,3,11
34610004,16,8,31,2,51,2,21
34610005,18,0,18,0,66,4,18
34610006,22,0,22,0,33,0,26
34610007,43,1,71,3,56,5,56
34610008,13,0,14,0,13,2,13
34610009,21,0,22,0,23,0,25
34620005,22,0,28,0,42,5,24
34620007,8,0,49,8,63,3,14
34620014,6,0,34,3,33,3,12
34620019,31,1,72,1,76,6,42
34625401,20,1,125,0,107,8,31
34625402,13,0,17,0,8,1,19
40110000,972,126,2395,112,1638,118,1242
40120000,178,12,444,24,337,21,255
51110000,999,116,1808,90,1499,85,1251
51120000,375,51,980,33,744,39,601
51130000,835,94,1633,127,1331,77,1315
51140000,266,7,739,74,412,20,461
51160000,532,37,578,82,531,31,751
51170000,187,4,433,23,408,21,260
51190000,242,3,497,26,365,24,384
51200000,110,3,283,26,169,14,186
51220000,234,0,348,12,451,19,324
51240000,511,67,904,56,597,49,718
51540004,29,1,22,64,35,2,92
51540008,53,0,116,17,94,6,94
51540012,61,1,116,10,119,3,124
51540016,76,0,104,8,78,6,110
51540020,28,0,25,1,37,1,28
51540024,20,0,34,1,112,5,21
51540028,30,0,32,2,38,1,26
51540032,31,0,140,10,109,4,58
51540036,96,11,208,24,140,8,172
51540040,17,0,34,0,53,0,24
51540044,32,0,70,1,136,6,56
51540048,16,0,24,0,30,0,11
51540052,28,0,53,3,46,6,45
51540056,17,0,32,0,31,2,23
51540060,17,0,26,1,46,4,20
51540064,17,0,20,0,42,1,14
51580004,52,0,97,2,77,1,69
51580008,34,0,70,1,69,1,41
51580012,49,2,38,2,51,1,54
51580016,75,4,259,5,116,5,107
51580020,48,0,167,43,86,6,115
51580024,43,2,94,2,47,5,56
51580026,54,0,114,3,77,10,69
51580028,98,1,263,8,205,12,145
51580032,181,1,253,24,193,5,227
51580036,26,1,42,1,26,4,39
51620004,109,0,122,5,263,10,138
51620008,154,0,163,42,214,10,208
51620012,29,0,37,0,44,3,24
51620016,85,0,132,2,76,7,78
51620020,74,1,112,4,89,2,71
51620022,58,0,116,3,206,20,70
51620024,353,5,557,52,361,24,453
51620028,29,0,33,0,33,1,23
51660004,64,0,96,0,77,1,70
51660008,79,0,36,1,58,0,86
51660012,174,1,173,12,111,3,174
51660016,131,0,152,24,130,8,172
51660020,49,0,56,0,63,0,55
51660024,87,1,65,4,47,0,103
51660028,95,0,104,8,42,3,117
51660032,324,6,269,123,191,6,452
51660036,194,0,153,6,114,5,237
51700004,17,0,22,0,41,2,23
51700008,114,1,145,8,88,8,140
51700012,33,0,59,1,97,4,38
51700016,12,1,26,0,57,1,18
51700020,35,2,87,3,172,4,45
51700024,133,1,247,4,186,14,180
51700028,44,1,97,1,56,3,52
51700032,21,0,58,2,80,8,40
51700036,34,1,40,1,68,1,28
51700040,15,0,25,0,27,0,17
51700044,43,1,65,0,97,3,52
51700048,157,2,285,2,217,8,221
51700052,31,0,81,13,117,3,50
53140000,694,138,1324,132,915,67,1107
53150000,1560,164,2977,143,2568,168,2071
53160000,171,9,387,10,273,13,255
53340002,466,223,894,41,723,36,596
53340004,56,0,96,1,79,5,66
53340008,45,0,37,2,22,7,56
53340012,84,0,142,2,61,4,107
53340016,95,1,129,0,89,3,118
53340020,33,1,51,1,113,1,29
53340024,12,0,34,0,31,2,16
53340028,62,0,64,8,163,3,42
53340032,93,0,94,8,109,3,110
53340036,61,0,89,5,46,3,77
53580004,16,0,30,0,23,5,18
53580008,155,1,214,7,157,7,198
53580012,4,0,19,0,63,5,7
53580016,14,0,17,0,74,4,22
53580020,9,0,16,0,27,0,17
53580024,85,4,223,8,123,14,103
53580028,43,1,52,0,64,3,53
53580032,19,0,30,1,32,3,19
53580036,20,2,25,0,34,10,22
53580040,10,0,12,0,24,0,13
53580044,24,0,19,0,79,2,18
53580048,21,0,17,2,16,2,25
53580052,10,0,10,0,30,3,10
53580056,20,0,15,0,14,3,24
53580060,15,0,13,0,25,1,17
53620004,58,1,63,5,42,3,56
53620008,128,1,181,7,112,8,143
53620012,59,2,109,3,173,14,87
53620016,43,0,44,0,50,6,30
53620020,77,2,128,2,138,10,102
