index,buy/execute_no_car,buy/execute_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
DE80N_9,81485.21701576015,1858647.3757743721,80692.78812580153,1424011.1592802342,10329.53351072798,396691.02234488935
DE80O_0,266560.44250325154,4766561.024647075,293147.17319244536,3927286.0471338863,31325.38983678393,1068109.2555579748
DE80O_1,379858.5675466452,6622083.6695227735,436512.8757013684,5722035.53448707,45409.55133486649,1549397.8659686903
DE80O_2,320721.61029033735,5515417.055212512,363855.38716848206,4691223.16968053,38131.84964542257,1265221.544836885
DE80O_3,97441.38397010048,2334397.1555538937,99877.6482079274,1834884.2286517876,12450.558091187222,508517.2462305406
DE80O_4,370115.2623031405,6314430.717968757,417812.19403478055,5435354.599678172,42492.0891934844,1465740.4239105089
DE80O_5,181807.7236630371,3111044.9929296165,195958.93686739838,2513629.912247028,21923.144311687836,669304.0537722082
DE80O_6,139954.53320609964,3458697.8657166176,149646.94882754254,2807201.7870624317,17803.075087228794,784561.7636385212
DE80O_7,259444.54578125593,4433767.8790517,288390.1494312336,3678594.57012369,30546.230033926575,991254.569081181
DE911_0,6662427.583960596,32566612.8361658,9866462.130004287,33545822.340419427,1206382.4786982015,9581509.89984029
DE912_0,2831866.9345372315,14134904.762433738,3925138.7564360606,13556634.597888723,468897.0074881581,3746726.029692606
DE913_0,3391929.375162729,16655884.941029323,4740248.829993815,16218305.685616003,551452.0181544131,4525809.898729449
DE914_0,484993.84645073034,9147358.995476076,656904.1645840603,8755430.64325294,89785.40531563535,2697209.950891311
DE914_1,139361.02793418278,3679233.1109914123,172280.840642091,3237835.1788631286,28440.066043647792,1095465.1433025424
DE914_2,126502.5783495017,3387643.9463586616,155333.0393157198,2975775.6371265817,26348.21745430374,997552.0239110255
DE914_3,145928.17211460692,2783458.6461753063,177523.7236901903,2409635.396391897,27364.008806813064,716898.9662813452
DE914_4,336501.43486941885,6450286.194520765,445391.08540325647,5998043.101126971,63432.43710662651,1827702.6037351175
DE914_5,73390.33445597503,1926481.4142568512,85020.83932819725,1617266.7899349777,15648.669440529377,532426.055818642
DE914_6,60199.61456832156,1545417.7153714052,68979.57867795537,1251950.0073344859,12887.019741782102,417431.2864663783
DE916_0,473642.6410876141,9317432.895837966,649740.6542410298,8919775.201342124,92920.64231927723,2748788.131060107
DE916_1,92283.82073286048,2593868.343140878,111969.76842675074,2227878.6405839412,20486.715595316367,742251.8782745554
DE916_2,37068.92722254712,1032533.9864409497,41273.69201122551,808355.5864077434,8905.92976337893,268483.9971723352
DE916_3,128510.59793077386,2535288.333175482,156968.47820010962,2147203.991020239,24855.699169192892,646671.204871498
DE916_4,160204.92564680902,3237063.9983451176,201263.61272009907,2821206.0011563287,31637.7364886285,850772.9889362844
DE916_5,184870.9338135912,3652717.746586087,233352.68463661158,3217179.42025813,35482.96160656617,969816.6664846217
DE917_0,37507.691339202014,1003445.8521677156,41711.594580893405,785366.1520975349,8852.43936645444,260800.63738047276
DE917_1,139178.26446099533,2665781.5652965903,170724.71703689918,2261204.0746008623,26177.166649453426,686846.972894759
DE917_2,29871.90026405954,807769.9400086352,32713.93521570736,617554.7641673277,7360.567138458546,206457.90636772508
DE917_3,101121.9663491125,1918392.8265510013,120211.12255184265,1577619.8752717662,19335.631104183,477422.05809794023
DE917_4,221426.27305691253,4208315.59367565,282853.90022273065,3723648.9665536457,40828.318039093996,1141877.6656415442
DE917_5,25221.962372677164,665273.7026912008,27020.772729117292,499060.3934049202,6401.416916666622,166318.4407089585
